Id,Name,Latitude,Longitude,CountryCode,StatusId,ReactorTypeId,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,Source,LastUpdatedAt,IAEAId
795,Cernavoda-4,44.322000,28.061000,RO,8,20,,1985-08-15,,,655,IAEA/Wikipedia,2021-02-14T01:00:00+02:00,
796,Cernavoda-5,44.322000,28.061000,RO,9,20,,1987-05-12,,,655,IAEA/Wikipedia,2021-02-14T01:01:00+02:00,
797,Zwentendorf,48.354400,15.884700,AT,10,5,,1972-04-04,,,692,IAEA/Wikipedia,2021-02-14T02:59:00+02:00,
798,SNR-300 (Kalkar),51.763056,6.326944,DE,10,7,SNR-300,1973-04-23,,,295,IAEA/Wikipedia,2021-02-14T02:59:00+02:00,
799,Sanaocun-1,27.201487,120.517974,CN,2,21,HRP1000,2020-12-31,,,1117,IAEA/WNA,2021-02-14T03:47:53+02:00,1094
800,CAP1400-1,36.965556,122.520000,CN,2,21,CAP1400,2013-03-22,,,1534,IAEA/Wikipedia,2021-04-20T02:47:37+03:00,1085
801,CAP1400-2,36.965556,122.520000,CN,2,21,CAP1400,2013-03-22,,,1534,IAEA/Wikipedia,2021-04-20T02:47:37+03:00,1086
802,Changjiang-3,19.460750,108.899917,CN,2,21,HPR1000,2021-03-31,,,1000,IAEA/Wikipedia,2021-06-29T00:12:17+03:00,941
803,Xudabao-1,40.351389,120.545833,CN,1,21,AP1000,,,,,Wikipedia,2021-05-29,
804,Xudabao-2,40.351389,120.545833,CN,1,21,AP1000,,,,,Wikipedia,2021-05-29,
805,Xudabao-3,40.351389,120.545833,CN,2,21,VVER V-491,2021-05-19,,,,WNA/Wikipedia,2021-05-29,
806,Xudabao-4,40.351389,120.545833,CN,1,21,VVER-1200,,,,,Wikipedia,2021-05-29,
807,Tianwan-7,34.682800,119.456000,CN,2,21,VVER V-491,2021-05-19,,,,WNA/Wikipedia,2021-05-29,
808,Tianwan-8,34.682800,119.456000,CN,1,21,VVER-1200,,,,,Wikipedia,2021-05-29,
809,Changjiang-4,19.460750,108.899917,CN,1,21,Hualong One,,,,,Wikipedia,2021-05-29,
810,Changjiang SMR-1,19.460070,108.889920,CN,1,21,ACP100,,,,,WNA,2021-06-12,
811,Changjiang SMR-2,,,CN,1,21,ACP100,,,,,WNA,2021-05-29,
812,Bohai Shipyard FNPP,,,CN,1,21,ACPR50S,,,,,WNA,2021-05-29,
813,Jiaodong Shipyard FNPP,,,CN,1,21,ACP100S,,,,,WNA,2021-05-29,
814,Shanwei-2,,,CN,1,21,,,,,,WNA,2021-05-29,
