Id,Name,Latitude,Longitude,CountryCode,StatusId,ReactorTypeId,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,Source,LastUpdatedAt,IAEAId
116,Catawba-2,35.053000,-81.071000,US,3,21,WH 4LP (ICECND),1974-05-01,1986-08-19,,1145,WNA/IAEA,2017-02-10T23:59:14+02:00,714
117,Cattenom-1,49.416000,6.217000,FR,3,21,P4 REP 1300,1979-10-29,1987-04-01,,1300,WNA/IAEA,2015-05-24T04:51:01+03:00,207
118,Cattenom-2,49.416000,6.217000,FR,3,21,P4 REP 1300,1980-07-28,1988-02-01,,1300,WNA/IAEA,2015-05-24T04:51:02+03:00,210
119,Cattenom-3,49.416000,6.217000,FR,3,21,P4 REP 1300,1982-06-15,1991-02-01,,1300,WNA/IAEA,2015-05-24T04:51:04+03:00,218
120,Cattenom-4,49.416000,6.217000,FR,3,21,P4 REP 1300,1983-09-28,1992-01-01,,1300,WNA/IAEA,2015-05-24T04:51:06+03:00,223
121,CEFR (China Experimental Fast Reactor),39.739000,116.030000,CN,3,7,BN-20,2000-05-10,,,20,WNA/IAEA,2021-06-12,1047
122,Cernavoda-1,44.322000,28.061000,RO,3,20,CANDU 6,1983-03-31,1996-12-02,,650,WNA/IAEA,2021-01-06T01:19:47+02:00,442
123,Cernavoda-2,44.322000,28.061000,RO,3,20,CANDU 6,1983-07-01,2007-11-01,,650,WNA/IAEA,2019-06-02T20:18:16+03:00,443
124,Cernavoda-3,44.322000,28.061000,RO,8,20,,1984-02-09,,,655,WNA/IAEA/Wikipedia,2021-02-14T00:59:00+02:00,
125,Changjiang-1,19.460750,108.899917,CN,3,21,CNP-600,2010-04-25,2015-12-25,,601,WNA/IAEA/Wikipedia,2021-04-20T03:20:43+03:00,939
126,Changjiang-2,19.460750,108.899917,CN,3,21,CNP-600,2010-11-21,2016-08-12,,601,WNA/IAEA/Wikipedia,2021-04-20T03:20:43+03:00,940
127,Chapelcross-1,55.014000,-3.223000,GB,5,8,MAGNOX,1955-10-01,1959-03-01,2004-06-29,35,WNA/IAEA,2015-05-24T04:51:17+03:00,252
128,Chapelcross-2,55.014000,-3.223000,GB,5,8,MAGNOX,1955-10-01,1959-08-01,2004-06-29,35,WNA/IAEA,2015-05-24T04:51:18+03:00,253
129,Chapelcross-3,55.014000,-3.223000,GB,5,8,MAGNOX,1955-10-01,1959-12-01,2004-06-29,35,WNA/IAEA,2015-05-24T04:51:18+03:00,254
130,Chapelcross-4,55.014000,-3.223000,GB,5,8,MAGNOX,1955-10-01,1960-03-01,2004-06-29,35,WNA/IAEA,2015-05-24T04:51:18+03:00,255
131,CHASNUPP-1,32.392000,71.463000,PK,3,21,CNP-300,1993-08-01,2000-09-15,,300,WNA/IAEA,2021-06-07,428
132,CHASNUPP-2,32.392000,71.463000,PK,3,21,CNP-300,2005-12-28,2011-05-18,,300,WNA/IAEA,2021-06-07,429
133,CHASNUPP-3,32.392000,71.465000,PK,3,21,CNP-300,2011-05-28,2016-12-06,,315,WNA/IAEA,2021-06-07,1044
134,CHASNUPP-4,32.391944,71.461667,PK,3,21,CNP-300,2011-12-18,2017-09-19,,313,IAEA,2021-06-07,1045
135,Chernobyl-1,51.389000,30.103000,UA,5,17,RBMK,1970-03-01,1978-05-27,1996-11-30,925,WNA/IAEA,2015-05-24T04:51:39+03:00,568
136,Chernobyl-2,51.389000,30.103000,UA,5,17,RBMK,1973-02-01,1979-05-28,1991-10-11,925,WNA/IAEA,2015-05-24T04:51:39+03:00,569
137,Chernobyl-3,51.389000,30.103000,UA,5,17,RBMK,1976-03-01,1982-06-08,2000-12-15,925,WNA/IAEA,2015-05-24T04:51:40+03:00,575
138,Chernobyl-4,51.389000,30.103000,UA,5,17,RBMK,1979-04-01,1984-03-26,1986-04-26,925,WNA/IAEA,2015-05-24T04:51:40+03:00,576
139,Chin Shan-1,25.292000,121.567000,TW,5,5,BWR-4 (Mark 1),1972-06-02,1978-12-10,2018-12-06,604,WNA/IAEA,2019-06-02T20:18:27+03:00,554
140,Chin Shan-2,25.292000,121.567000,TW,5,5,BWR-4 (Mark 1),1973-12-07,1979-07-15,2019-07-16,604,WNA/IAEA,2019-11-22,555
141,Chinon-A1,47.232000,0.167000,FR,5,8,UNGG,1957-02-01,1964-02-01,1973-04-16,68,WNA/IAEA,2015-05-24T04:50:52+03:00,173
142,Chinon-A2,47.232000,0.167000,FR,5,8,UNGG,1959-08-01,1965-02-24,1985-06-14,170,WNA/IAEA,2015-05-24T04:50:53+03:00,184
143,Chinon-A3,47.232000,0.167000,FR,5,8,UNGG,1961-03-01,1966-08-04,1990-06-15,480,WNA/IAEA,2015-05-24T04:50:58+03:00,195
144,Chinon-B1,47.232000,0.167000,FR,3,21,CP2,1977-03-01,1984-02-01,,870,WNA/IAEA,2015-05-24T04:50:58+03:00,196
145,Chinon-B2,47.232000,0.167000,FR,3,21,CP2,1977-03-01,1984-08-01,,870,WNA/IAEA,2015-05-24T04:50:59+03:00,197
146,Chinon-B3,47.232000,0.167000,FR,3,21,CP2,1980-10-01,1987-03-04,,905,WNA/IAEA,2015-05-24T04:51:03+03:00,213
147,Chinon-B4,47.232000,0.167000,FR,3,21,CP2,1981-02-01,1988-04-01,,905,WNA/IAEA,2015-05-24T04:51:03+03:00,214
148,Chooz-A,50.086000,4.792000,FR,5,21,CHOOZ-A,1962-01-01,1967-04-15,1991-10-30,280,WNA/IAEA,2015-05-24T04:51:01+03:00,206
149,Chooz-B1,50.086000,4.792000,FR,3,21,N4 REP 1450,1984-01-01,2000-05-15,,1455,WNA/IAEA,2015-05-24T04:51:04+03:00,220
150,Chooz-B2,50.086000,4.792000,FR,3,21,N4 REP 1450,1985-12-31,2000-09-29,,1455,WNA/IAEA,2015-05-24T04:51:06+03:00,226
151,Civaux-1,46.457000,0.654000,FR,3,21,N4 REP 1450,1988-10-15,2002-01-29,,1450,WNA/IAEA,2015-05-24T04:51:07+03:00,227
152,Civaux-2,46.457000,0.654000,FR,3,21,N4 REP 1450,1991-04-01,2002-04-23,,1450,WNA/IAEA,2015-05-24T04:51:07+03:00,228
153,Clinton-1,40.172000,-88.834000,US,3,5,BWR-6 (Mark 3),1975-10-01,1987-11-24,,950,WNA/IAEA,2015-05-24T04:51:49+03:00,742
154,Cofrentes,39.216000,-1.051000,ES,3,5,BWR-6 (Mark 3),1975-09-09,1985-03-11,,939,WNA/IAEA,2017-02-10T23:56:09+02:00,140
155,Columbia (WNP-2),46.471000,-119.333000,US,3,5,BWR-5 (Mark 2),1972-08-01,1984-12-13,,1100,WNA/IAEA,2015-05-24T04:51:48+03:00,702
156,Comanche Peak-1,32.301000,-97.787000,US,3,21,WH 4LP (DRYAMB),1974-12-19,1990-08-13,,1150,WNA/IAEA,2017-02-10T23:59:17+02:00,729
157,Comanche Peak-2,32.301000,-97.787000,US,3,21,WH 4LP (DRYAMB),1974-12-19,1993-08-03,,1150,WNA/IAEA,2017-02-10T23:59:17+02:00,730
158,Cooper,40.361000,-95.643000,US,3,5,BWR-4 (Mark 1),1968-06-01,1974-07-01,,778,WNA/IAEA,2015-05-24T04:51:43+03:00,642
159,Cruas-1,44.634000,4.757000,FR,3,21,CP2,1978-08-01,1984-04-02,,880,WNA/IAEA,2015-05-24T04:50:59+03:00,198
160,Cruas-2,44.634000,4.757000,FR,3,21,CP2,1978-11-15,1985-04-01,,915,WNA/IAEA,2015-05-24T04:50:59+03:00,199
161,Cruas-3,44.634000,4.757000,FR,3,21,CP2,1979-04-15,1984-09-10,,880,WNA/IAEA,2015-05-24T04:50:59+03:00,200
162,Cruas-4,44.634000,4.757000,FR,3,21,CP2,1979-10-01,1985-02-11,,880,WNA/IAEA,2015-05-24T04:51:00+03:00,201
163,Crystal River-3,28.966000,-82.697000,US,5,21,B&W LLP (DRYAMB),1968-09-25,1977-03-13,2013-02-05,825,WNA/IAEA,2017-02-10T23:58:22+02:00,645
164,Dampierre-1,47.732000,2.513000,FR,3,21,CP1,1975-02-01,1980-09-10,,890,WNA/IAEA,2015-05-24T04:50:53+03:00,176
165,Dampierre-2,47.732000,2.513000,FR,3,21,CP1,1975-04-01,1981-02-16,,890,WNA/IAEA,2015-05-24T04:50:53+03:00,183
166,Dampierre-3,47.732000,2.513000,FR,3,21,CP1,1975-09-01,1981-05-27,,890,WNA/IAEA,2015-05-24T04:50:53+03:00,185
167,Dampierre-4,47.732000,2.513000,FR,3,21,CP1,1975-12-01,1981-11-20,,890,WNA/IAEA,2015-05-24T04:50:53+03:00,186
168,Darkhovin,30.707778,48.380000,IR,0,21,,,,,,Wikipedia,,
169,Darlington-1,43.867000,-78.724000,CA,3,20,CANDU 850,1982-04-01,1992-11-14,,881,WNA/IAEA,2015-05-24T04:50:25+03:00,43
170,Darlington-2,43.867000,-78.724000,CA,3,20,CANDU 850,1981-09-01,1990-10-09,,881,WNA/IAEA,2015-05-24T04:50:26+03:00,44
171,Darlington-3,43.867000,-78.724000,CA,3,20,CANDU 850,1984-09-01,1993-02-14,,881,WNA/IAEA,2015-05-24T04:50:26+03:00,45
172,Darlington-4,43.867000,-78.724000,CA,3,20,CANDU 850,1985-07-01,1993-06-14,,881,WNA/IAEA,2015-05-24T04:50:26+03:00,46
173,Darlington-5,43.864400,-78.724400,CA,1,20,,,,,,WNA,,
174,Darlington-6,43.863300,-78.724400,CA,1,20,,,,,,WNA,,
175,Davis Besse-1,41.597000,-83.092000,US,3,21,B&W RLP (DRYAMB),1970-09-01,1978-07-31,,906,WNA/IAEA,2017-02-10T23:58:51+02:00,676
176,Daya Bay-1 (Guangdong-1),22.599000,114.544000,CN,3,21,M310,1987-08-07,1994-02-01,,930,WNA/IAEA,2015-05-24T04:50:39+03:00,63
177,Daya Bay-2 (Guangdong-2),22.599000,114.544000,CN,3,21,M310,1988-04-07,1994-05-06,,930,WNA/IAEA,2015-05-24T04:50:39+03:00,64
178,Diablo Canyon-1,35.212000,-120.854000,US,3,21,WH 4LP (DRYAMB),1968-04-23,1985-05-07,,1084,WNA/IAEA,2017-02-10T23:58:09+02:00,628
179,Diablo Canyon-2,35.212000,-120.854000,US,3,21,WH 4LP (DRYAMB),1970-12-09,1986-03-13,,1106,WNA/IAEA,2017-02-10T23:58:39+02:00,660
180,Doel-1,51.323000,4.259000,BE,3,21,WH 2LP,1969-07-01,1975-02-15,,392,WNA/IAEA,2017-02-10T23:55:14+02:00,9
181,Doel-2,51.323000,4.259000,BE,3,21,WH 2LP,1971-09-01,1975-12-01,,445,WNA/IAEA,2021-01-06T01:19:47+02:00,11
182,Doel-3,51.323000,4.259000,BE,3,21,WH 3LP,1975-01-01,1982-10-01,,1006,WNA/IAEA,2021-02-14T03:47:53+02:00,12
183,Doel-4,51.323000,4.259000,BE,3,21,WH 3LP,1978-12-01,1985-07-01,,1000,WNA/IAEA,2017-02-10T23:55:43+02:00,14
184,Donald Cook-1,41.975000,-86.564000,US,3,21,WH 4LP (ICECDN),1969-03-25,1975-08-28,,1030,WNA/IAEA,2017-02-10T23:58:31+02:00,653
185,Donald Cook-2,41.975000,-86.564000,US,3,21,WH 4LP (ICECDN),1969-03-25,1978-07-01,,1100,WNA/IAEA,2017-02-10T23:58:33+02:00,654
186,Douglas Point,44.326000,-81.601000,CA,5,20,CANDU 200,1960-02-01,1968-09-26,1984-05-04,203,WNA/IAEA,2015-05-24T04:50:24+03:00,40
187,Dounreay DFR,58.577000,-3.745000,GB,5,7,,1955-03-01,1962-10-01,1977-03-01,14,WNA/IAEA,2015-05-24T04:51:14+03:00,242
188,Dounreay PFR,58.577000,-3.745000,GB,5,7,,1966-01-01,1976-07-01,1994-03-31,234,WNA/IAEA,2015-05-24T04:51:14+03:00,243
189,Dresden-1,41.353000,-88.349000,US,5,5,,1956-05-01,1960-07-04,1978-10-31,192,WNA/IAEA,2015-05-24T04:51:40+03:00,597
190,Dresden-2,41.353000,-88.349000,US,3,5,BWR-3 (Mark 1),1966-01-10,1970-06-09,,794,WNA/IAEA,2015-05-24T04:51:41+03:00,608
191,Dresden-3,41.353000,-88.349000,US,3,5,BWR-3 (Mark 1),1966-10-14,1971-11-16,,794,WNA/IAEA,2015-05-24T04:51:41+03:00,612
192,Duane Arnold-1,42.101000,-91.776000,US,5,5,BWR-4 (Mark 1),1970-06-22,1975-02-01,2020-10-12,601,WNA/IAEA,2021-01-06T01:19:47+02:00,667
193,Dukovany-1,49.089000,16.149000,CZ,3,21,VVER V-213,1979-01-01,1985-05-03,,468,WNA/IAEA,2021-02-14T03:47:53+02:00,78
194,Dukovany-2,49.089000,16.149000,CZ,3,21,VVER V-213,1979-01-01,1986-03-21,,420,WNA/IAEA,2015-05-24T04:50:42+03:00,79
195,Dukovany-3,49.089000,16.149000,CZ,3,21,VVER V-213,1979-03-01,1986-12-20,,420,WNA/IAEA,2015-05-24T04:50:42+03:00,80
196,Dukovany-4,49.089000,16.149000,CZ,3,21,VVER V-213,1979-03-01,1987-07-19,,420,WNA/IAEA,2015-05-24T04:50:42+03:00,81
197,Dungeness-A1,50.914000,0.962000,GB,5,8,MAGNOX,1960-07-01,1965-10-28,2006-12-31,275,WNA/IAEA,2015-05-24T04:51:20+03:00,275
198,Dungeness-A2,50.914000,0.962000,GB,5,8,MAGNOX,1960-07-01,1965-12-30,2006-12-31,275,WNA/IAEA,2015-05-24T04:51:20+03:00,276
199,Dungeness-B1,50.914000,0.962000,GB,3,8,AGR,1965-10-01,1985-04-01,,607,WNA/IAEA,2015-05-24T04:51:16+03:00,248
200,Dungeness-B2,50.914000,0.962000,GB,3,8,AGR,1965-10-01,1989-04-01,,545,WNA/IAEA,2021-04-20T02:47:37+03:00,249
201,El Dabaa-1,31.033333,28.433333,EG,1,,,,,,,WNA,,
202,EL-4 (Monts D'Arree),48.350000,-3.866667,FR,5,11,Monts-D'Arree,1962-07-01,1968-06-01,1985-07-31,70,IAEA,2015-05-24T05:20:27+03:00,217
203,Elk River,45.297000,-93.557000,US,5,5,,1959-01-01,1964-07-01,1968-02-01,22,WNA/IAEA,2015-05-24T04:51:40+03:00,596
204,Embalse,-32.232000,-64.442000,AR,3,20,CANDU 6,1974-04-01,1984-01-20,,608,WNA/IAEA,2020-04-18T04:46:52+03:00,4
205,Emsland,52.471000,7.322000,DE,3,21,Konvoi,1982-08-10,1988-06-20,,1242,WNA/IAEA,2015-05-24T04:50:46+03:00,108
206,Enrico Fermi,45.183333,8.283333,IT,5,21,WH 4LP,1961-07-01,1965-01-01,1990-07-01,247,IAEA,2017-02-10T23:56:19+02:00,326
207,Enrico Fermi-1,41.960000,-83.257000,US,5,7,Liquid Metal FBR,1956-08-08,1966-08-07,1972-11-29,60,WNA/IAEA,2017-02-10T23:57:45+02:00,602
208,Enrico Fermi-2,41.960000,-83.257000,US,3,5,BWR-4 (Mark 1),1972-09-26,1988-01-23,,1093,WNA/IAEA,2015-05-24T04:51:47+03:00,674
209,Fangchenggang-1,21.600000,108.300000,CN,3,21,CPR-1000,2010-07-30,2016-01-01,,1000,WNA/IAEA,2019-06-29T22:55:52+03:00,943
210,Fangchenggang-2,21.600000,108.300000,CN,3,21,CPR-1000,2010-12-23,2016-10-01,,1000,WNA/IAEA,2017-02-10T23:59:36+02:00,944
211,Fangjiashan-1,30.416000,120.951000,CN,3,21,CPR-1000,2008-12-26,2014-12-15,,1000,WNA/IAEA,2015-05-24T04:51:56+03:00,912
212,Fangjiashan-2,30.416000,120.951000,CN,3,21,CPR-1000,2009-07-17,2015-02-12,,1000,WNA/IAEA,2015-05-24T04:51:56+03:00,913
213,Farley-1,31.223000,-85.115000,US,3,21,WH 3LP (DRYAMB),1970-10-01,1977-12-01,,829,WNA/IAEA,2017-02-10T23:58:52+02:00,677
214,Farley-2,31.223000,-85.115000,US,3,21,WH 3LP (DRYAMB),1970-10-01,1981-07-30,,829,WNA/IAEA,2017-02-10T23:58:53+02:00,686
215,Fessenheim-1,47.903000,7.564000,FR,5,21,CP0,1971-09-01,1978-01-01,2020-02-22,880,WNA/IAEA,2020-04-18T04:46:52+03:00,163
216,Fessenheim-2,47.903000,7.564000,FR,5,21,CP0,1972-02-01,1978-04-01,2020-06-30,880,WNA/IAEA,2020-08-31T01:39:56+03:00,164
217,FitzPatrick,43.521000,-76.403000,US,3,5,BWR-4 (Mark 1),1968-09-01,1975-07-28,,821,WNA/IAEA,2015-05-24T04:51:47+03:00,668
218,Flamanville-1,49.537000,-1.881000,FR,3,21,P4 REP 1300,1979-12-01,1986-12-01,,1330,WNA/IAEA,2015-05-24T04:51:00+03:00,202
219,Flamanville-2,49.537000,-1.881000,FR,3,21,P4 REP 1300,1980-05-01,1987-03-09,,1330,WNA/IAEA,2015-05-24T04:51:00+03:00,203
220,Flamanville-3,49.537000,-1.881000,FR,2,21,EPR,2007-12-03,,,1630,WNA/IAEA,2015-05-24T04:51:51+03:00,873
221,Forsmark-1,60.405000,18.168000,SE,3,5,"AA-III, BWR-2500",1973-06-01,1980-12-10,,900,WNA/IAEA,2018-03-10T14:52:03+02:00,541
222,Forsmark-2,60.405000,18.168000,SE,3,5,"AA-III, BWR-2500",1975-01-01,1981-07-07,,900,WNA/IAEA,2018-03-10T14:51:47+02:00,530
223,Forsmark-3,60.405000,18.168000,SE,3,5,"AA-IV, BWR-3000",1979-01-01,1985-08-18,,1050,WNA/IAEA,2018-03-10T14:51:53+02:00,532
224,Fort Calhoun-1,41.520000,-96.076000,US,5,21,CE 2LP,1968-06-07,1973-09-26,2016-10-24,478,WNA/IAEA,2017-02-10T23:58:13+02:00,634
225,Fort St. Vrain,40.244000,-104.874000,US,5,9,,1968-09-01,1979-07-01,1989-08-29,330,WNA/IAEA,2015-05-24T04:51:42+03:00,623
226,Fugen ATR,35.751000,136.020000,JP,5,12,ATR,1972-05-10,1979-03-20,2003-03-29,148,WNA/IAEA,2015-05-24T04:51:28+03:00,345
227,Fukushima Daiichi-1,37.423000,141.032000,JP,5,5,BWR-3,1967-07-25,1971-03-26,2011-05-19,439,WNA/IAEA,2019-06-30T12:49:39+03:00,377
228,Fukushima Daiichi-2,37.423000,141.032000,JP,5,5,BWR-4,1969-06-09,1974-07-18,2011-05-19,760,WNA/IAEA,2019-06-30T12:49:43+03:00,389
229,Fukushima Daiichi-3,37.423000,141.032000,JP,5,5,BWR-4,1970-12-28,1976-03-27,2011-05-19,760,WNA/IAEA,2019-06-30T12:49:48+03:00,334
230,Fukushima Daiichi-4,37.423000,141.032000,JP,5,5,BWR-4,1973-02-12,1978-10-12,2011-05-19,760,WNA/IAEA,2019-06-30T12:49:48+03:00,340
231,Fukushima Daiichi-5,37.423000,141.032000,JP,5,5,BWR-4,1972-05-22,1978-04-18,2013-12-17,760,WNA/IAEA,2019-06-30T12:49:49+03:00,341
232,Fukushima Daiichi-6,37.423000,141.032000,JP,5,5,BWR-5,1973-10-26,1979-10-24,2013-12-17,1067,WNA/IAEA,2019-06-30T12:52:14+03:00,342
233,Fukushima Daini-1,37.315000,141.024000,JP,5,5,BWR-5,1976-03-16,1982-04-20,2019-09-30,1067,WNA/IAEA,2020-04-18T04:46:52+03:00,350
234,Fukushima Daini-2,37.315000,141.024000,JP,5,5,BWR-5,1979-05-25,1984-02-03,2019-09-30,1067,WNA/IAEA,2020-04-18T04:46:52+03:00,351
235,Fukushima Daini-3,37.315000,141.024000,JP,5,5,BWR-5,1981-03-23,1985-06-21,2019-09-30,1067,WNA/IAEA,2020-04-18T04:46:52+03:00,361
236,Fukushima Daini-4,37.315000,141.024000,JP,5,5,BWR-5,1981-05-28,1987-08-25,2019-09-30,1067,WNA/IAEA,2020-04-18T04:46:52+03:00,364
237,Fuqing-1,25.443000,119.453000,CN,3,21,CNP-1000,2008-11-21,2014-11-22,,1000,WNA/IAEA,2016-03-09T18:43:50+02:00,914
238,Fuqing-2,25.443000,119.453000,CN,3,21,CNP-1000,2009-06-17,2015-10-16,,1000,WNA/IAEA,2016-03-09T18:43:55+02:00,915
239,Fuqing-3,25.720278,119.383889,CN,3,21,CNP-1000,2010-12-31,2016-10-24,,1000,WNA/IAEA,2017-02-10T23:59:36+02:00,935
240,Fuqing-4,25.720278,119.383889,CN,3,21,CNP-1000,2012-11-17,2017-09-17,,1000,WNA/IAEA,2018-03-10T14:52:08+02:00,936
241,Fuqing-5,25.720278,119.383889,CN,3,21,HPR1000,2015-05-07,2021-01-29,,1000,WNA/IAEA,2021-06-29T00:12:17+03:00,937
242,Fuqing-6,25.720278,119.383889,CN,2,21,HPR1000,2015-12-22,,,1000,WNA/Wikipedia/IAEA,2016-03-09T18:44:14+02:00,938
243,G-2 (Marcoule),44.142000,4.713000,FR,5,8,,1955-03-01,1959-04-22,1980-02-02,36,WNA/IAEA,2015-05-24T04:50:51+03:00,172
244,G-3 (Marcoule),44.142000,4.713000,FR,5,8,,1956-03-01,1960-04-04,1984-06-20,36,WNA/IAEA,2015-05-24T04:50:50+03:00,161
245,Garigliano,41.258000,13.835000,IT,5,5,BWR-1,1959-11-01,1964-06-01,1982-03-01,150,WNA/IAEA,2015-05-24T04:51:26+03:00,325
246,GE Vallecitos,37.613056,-121.840000,US,5,5,25,1956-01-01,1957-10-19,1963-12-09,24,IAEA,2021-06-06,893
247,Genkai-1,33.518000,129.837000,JP,5,21,M (2-loop),1971-09-15,1975-10-15,2015-04-27,529,WNA/IAEA,2015-05-24T04:51:27+03:00,336
248,Genkai-2,33.518000,129.837000,JP,5,21,M (2-loop),1977-02-01,1981-03-30,2019-04-09,529,WNA/IAEA,2019-11-22,352
249,Genkai-3,33.518000,129.837000,JP,3,21,M (4-loop),1988-06-01,1994-03-18,,1127,WNA/IAEA,2015-05-24T04:51:29+03:00,372
250,Genkai-4,33.518000,129.837000,JP,3,21,M (4-loop),1992-07-15,1997-07-25,,1127,WNA/IAEA,2015-05-24T04:51:29+03:00,373
251,Gentilly-1 (Demo),46.395000,-72.357000,CA,5,12,HW BLWR 250,1966-09-01,1972-05-01,1977-06-01,250,WNA/IAEA,2015-05-24T04:50:26+03:00,47
252,Gentilly-2,46.395000,-72.357000,CA,5,20,CANDU 6,1974-04-01,1983-10-01,2012-12-28,645,WNA/IAEA,2015-05-24T04:50:21+03:00,32
253,Dodewaard,51.899000,5.687000,NL,5,5,GE design,1965-05-01,1969-03-26,1997-03-26,54,WNA/IAEA,2021-06-07,422
254,Goesgen,47.366000,7.969000,CH,3,21,PWR 3 Loop,1973-12-01,1979-11-01,,1010,WNA/IAEA,2021-01-06T01:19:47+02:00,58
255,Golfech-1,44.105000,0.845000,FR,3,21,P4 REP 1300,1982-11-17,1991-02-01,,1310,WNA/IAEA,2015-05-24T04:51:04+03:00,219
256,Golfech-2,44.105000,0.845000,FR,3,21,P4 REP 1300,1984-10-01,1994-03-04,,1310,WNA/IAEA,2015-05-24T04:51:06+03:00,224
257,Grafenrheinfeld,49.984000,10.186000,DE,5,21,PWR,1975-01-01,1982-06-17,2015-06-27,1225,WNA/IAEA,2015-08-23T03:28:22+03:00,97
258,Grand Gulf-1,32.007000,-91.045000,US,3,5,BWR-6 (Mark 3),1974-05-04,1985-07-01,,1250,WNA/IAEA,2015-05-24T04:51:49+03:00,715
259,Gravelines-1,51.014000,2.138000,FR,3,21,CP1,1975-02-01,1980-11-25,,910,WNA/IAEA,2015-05-24T04:50:52+03:00,174
260,Gravelines-2,51.014000,2.138000,FR,3,21,CP1,1975-03-01,1980-12-01,,910,WNA/IAEA,2015-05-24T04:50:52+03:00,175
261,Gravelines-3,51.014000,2.138000,FR,3,21,CP1,1975-12-01,1981-06-01,,910,WNA/IAEA,2015-05-24T04:50:53+03:00,181
262,Gravelines-4,51.014000,2.138000,FR,3,21,CP1,1976-04-01,1981-10-01,,910,WNA/IAEA,2015-05-24T04:50:53+03:00,182
263,Gravelines-5,51.014000,2.138000,FR,3,21,CP1,1979-10-01,1985-01-15,,910,WNA/IAEA,2015-05-24T04:51:01+03:00,208
264,Gravelines-6,51.014000,2.138000,FR,3,21,CP1,1979-10-01,1985-10-25,,910,WNA/IAEA,2015-05-24T04:51:02+03:00,209
265,Greifswald-1,54.143000,13.668000,DE,5,21,VVER V-230,1970-03-01,1974-07-12,1990-02-14,440,WNA/IAEA,2015-05-24T04:50:47+03:00,123
266,Greifswald-2,54.143000,13.668000,DE,5,21,VVER V-230,1970-03-01,1975-04-16,1990-02-14,408,WNA/IAEA,2015-05-24T04:50:47+03:00,124
267,Greifswald-3,54.143000,13.668000,DE,5,21,VVER V-230,1972-04-01,1978-05-01,1990-02-28,408,WNA/IAEA,2015-05-24T04:50:47+03:00,125
268,Greifswald-4,54.143000,13.668000,DE,5,21,VVER V-230,1972-04-01,1979-11-01,1990-07-22,408,WNA/IAEA,2015-05-24T04:50:47+03:00,126
269,Greifswald-5,54.143000,13.668000,DE,5,21,VVER V-213,1976-12-01,1989-11-01,1989-11-24,408,WNA/IAEA,2015-05-24T04:50:47+03:00,127
270,Grohnde,52.033000,9.412000,DE,3,21,PWR,1976-06-01,1985-02-01,,1289,WNA/IAEA,2015-05-24T04:50:46+03:00,101
271,Grosswelzheim,50.055000,8.985000,DE,5,5,Superheated steam reactor,1965-01-01,1970-08-02,1971-04-20,23,WNA/IAEA,2015-05-24T04:54:05+03:00,134
272,Gundremmingen-A,48.513000,10.401000,DE,5,5,,1962-12-12,1967-04-12,1977-01-13,237,WNA/IAEA,2015-05-24T04:50:46+03:00,104
273,Gundremmingen-B,48.513000,10.401000,DE,5,5,BWR-72,1976-07-20,1984-07-19,2017-12-31,1244,WNA/IAEA,2018-03-10T14:51:13+02:00,100
274,Gundremmingen-C,48.513000,10.401000,DE,3,5,BWR-72,1976-07-20,1985-01-18,,1249,WNA/IAEA,2015-05-24T04:50:46+03:00,102
275,H. B. Robinson-2,34.402000,-80.158000,US,3,21,WH 3LP (DRYAMB),1967-04-13,1971-03-07,,700,WNA/IAEA,2017-02-10T23:58:01+02:00,619
276,Haddam Neck,41.483000,-72.500000,US,5,21,,1964-05-01,1968-01-01,1996-12-05,582,WNA/IAEA,2015-05-24T04:51:41+03:00,605
277,Haiyang-1,36.704000,121.382000,CN,3,21,AP-1000,2009-09-24,2018-10-22,,1126,WNA/IAEA,2019-06-02T20:18:34+03:00,908
278,Haiyang-2,36.704000,121.382000,CN,3,21,AP-1000,2010-06-20,2019-01-09,,1126,WNA/IAEA,2019-06-02T20:18:37+03:00,909
279,Haiyang-3,36.704000,121.382000,CN,1,21,AP-1000,,,,,WNA/IAEA,,
280,Haiyang-4,36.704000,121.382000,CN,1,21,AP-1000,,,,,WNA/IAEA,,
281,Hallam,40.559000,-96.785000,US,5,19,LMGMR (SGR-Sodium cooled graphite moderated reactor),1959-01-01,1963-11-01,1964-09-01,75,WNA/IAEA,2015-08-23T03:28:28+03:00,891
282,Hamaoka-1,34.621000,138.141000,JP,5,5,BWR-4,1971-06-10,1976-03-17,2009-01-30,516,WNA/IAEA,2015-05-24T04:51:27+03:00,335
283,Hamaoka-2,34.621000,138.141000,JP,5,5,BWR-4,1974-06-14,1978-11-29,2009-01-30,814,WNA/IAEA,2015-05-24T04:51:28+03:00,349
284,Hamaoka-3,34.621000,138.141000,JP,3,5,BWR-5,1983-04-18,1987-08-28,,1056,WNA/IAEA,2015-05-24T04:51:29+03:00,362
285,Hamaoka-4,34.621000,138.141000,JP,3,5,BWR-5,1989-10-13,1993-09-03,,1092,WNA/IAEA,2015-05-24T04:51:29+03:00,376
286,Hamaoka-5,34.621000,138.141000,JP,3,5,ABWR,2000-07-12,2005-01-18,,1325,WNA/IAEA,2015-05-24T04:51:50+03:00,843
287,Hamaoka-6,34.621000,138.141000,JP,1,1,,,,,,WNA,,
288,Hanbit-1,35.405000,126.410000,KR,3,21,WH F,1981-06-04,1986-08-25,,995,IAEA,2021-04-20T02:47:37+03:00,411
